image,User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Date,Quantity of Sales,Top 5 Category Sales Percentage,Device Model Wise Percentage,Data Usage Wise Percentage,Gender Wise Custom Distribution,Best Year Sales,Best Year (2008-2012),Top Selling Product by Category,Bottom Selling Product by Category
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,54,Xiaomi Mi 11,Android,97,2.2,1101,38,375,53,Male,2,2012,53,0.15%,0.15%,0.06%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,59,Xiaomi Mi 11,Android,428,7,2306,75,1144,22,Male,4,2013,49,0.14%,0.14%,0.18%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,61,Xiaomi Mi 11,Android,522,11.9,2798,85,1663,28,Female,5,2014,40,0.11%,0.11%,0.26%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,62,Xiaomi Mi 11,Android,309,7.5,2292,77,1253,57,Female,4,2015,18,0.05%,0.05%,0.19%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,64,Xiaomi Mi 11,Android,545,11.5,2911,87,1717,21,Female,5,2016,23,0.06%,0.06%,0.26%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,68,Xiaomi Mi 11,Android,134,4,773,35,449,28,Female,2,2017,27,0.07%,0.07%,0.07%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,74,Xiaomi Mi 11,Android,31,1.1,585,11,208,50,Female,1,2018,60,0.17%,0.17%,0.03%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,76,Xiaomi Mi 11,Android,229,5.7,1305,43,985,23,Female,3,2019,51,0.14%,0.14%,0.15%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,77,Xiaomi Mi 11,Android,34,2,558,14,122,54,Female,1,2020,49,0.14%,0.14%,0.02%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,83,Xiaomi Mi 11,Android,330,7.2,2363,77,1133,21,Female,4,2021,40,0.11%,0.11%,0.17%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,84,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,Male,1,2022,71,0.20%,0.20%,0.02%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,89,Xiaomi Mi 11,Android,137,3.3,839,31,348,34,Female,2,2023,84,0.23%,0.23%,0.05%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,4,2024,39,0.11%,0.11%,0.22%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,104,Xiaomi Mi 11,Android,274,4.2,1781,52,934,28,Male,3,,3,0.01%,0.01%,0.14%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,105,Xiaomi Mi 11,Android,166,2.8,1113,28,360,25,Male,2,1,100,0.28%,0.28%,0.06%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,106,Xiaomi Mi 11,Android,66,1.2,585,12,264,36,Male,1,2,38,0.11%,0.11%,0.04%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,109,Xiaomi Mi 11,Android,187,5.5,1754,55,711,50,Female,3,3,14,0.04%,0.04%,0.11%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,112,Xiaomi Mi 11,Android,488,8.6,2447,84,2344,19,Male,5,4,2,0.01%,0.01%,0.36%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,115,Xiaomi Mi 11,Android,471,7.9,2156,76,1324,54,Female,4,5,38,0.11%,0.11%,0.20%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,129,Xiaomi Mi 11,Android,125,2.5,678,34,465,31,Male,2,6,24,0.07%,0.07%,0.07%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,130,Xiaomi Mi 11,Android,97,3.3,751,39,412,36,Female,2,7,71,0.20%,0.20%,0.06%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,132,Xiaomi Mi 11,Android,320,7.2,2056,69,1226,52,Female,4,8,9,0.02%,0.02%,0.19%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,135,Xiaomi Mi 11,Android,83,1.6,303,19,285,51,Male,1,9,33,0.09%,0.09%,0.04%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,138,Xiaomi Mi 11,Android,237,4.5,1368,42,868,24,Female,3,10,50,0.14%,0.14%,0.13%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,141,Xiaomi Mi 11,Android,219,5.2,1510,42,655,50,Female,3,11,90,0.25%,0.25%,0.10%,48.00%,,2011,Xiaomi Mi 11,
